Collection Name,Collection Summary,Family Name,Family Summary,Family URL,Family Publication Date,Geographies,Document Title,Document URL,Document Content URL,Document Type,Document Content Matches Search Phrase,Category,Languages,Source,Topic,Hazard,Sector,Keyword,Framework,Instrument,Topic,Hazard,Sector,Keyword,Framework,Instrument,Author,Author_Type
,,Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energía,"The Law, as updated in October 2015, builds on the concept of production of electricity from renewable energy sources as a matter of national interest. It requires that by 31 December 2017, 8% of all electricity consumed nationally must be generated from renewable energy sources. The law directs the executive power to co-ordinate a Federal Programme for the Development of Renewable Energía and creates a fund to finance renewable energy projects, including through feed-in tariff. Private firms who are recognised as beneficiaries of the Programme and/or the Fund will enjoy a series of tax benefits, expanded in 2015 (decrease of VAT through exemption on import duties, accelerated amortization of Income Tax, fiscal certificates, etc.). The 2015 update also enlarges the list of 'renewable sources' to include wave energy, ocean currents energy and biofuels, and it expands the support of the Programme and Fund to hydropower plants with capacity up to 50 MW (up from original 30 MW).<br><br>This law was amended several times, notably by law 27191 and by a number of resolutions including <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-285-2018-311549/actualizacion"">resolution 285/2018</a> and <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-742-2021-352574"">resolution 742/2021</a>.<br><br>The market regime for the production of renewable energy is regulated by <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-281-2017-278429"">resolution 281/2017 </a>and amending <a href=""https://www.boletinoficial.gob.ar/detalleAviso/primera/245706/20210616"">resolution 551/2021</a>.&nbsp;",https://app.climatepolicyradar.org/documents/law-26-190-regime-for-the-national-promotion-for-the-production-and-use-of-renewable-sources-of-electric-energy_419f,2007-01-02T00:00:00+00:00,ARG,Regulatory Decree 531/2016,https://app.climatepolicyradar.org/documents/regulatory-decree-531-2016_e298,https://www.argentina.gob.ar/normativa/nacional/decreto-531-2016-259883,Decree,n/a,Legislative,Spanish,CCLW,Mitigation,,Energía,Research And Development;Energía Supply,,"Standards, obligations and norms|Regulation;Tax incentives|Economic;Processes, plans and strategies|Governance",Mitigation,,Energía,Research And Development;Energía Supply,,"Standards, obligations and norms|Regulation;Tax incentives|Economic;Processes, plans and strategies|Governance",,
,,Law 27191 on Renewable Energía,"The Law builds on and updates the Regimen for the National Promotion for the Production and Use of Renewable Sources of Electric Energía established by the <a href=""http://www.lse.ac.uk/GranthamInstitute/law/law-26-190-regimen-for-the-national-promotion-for-the-production-and-use-of-renewable-sources-of-electric-energy-2/"">Law 26.190</a>, and extends the regimen for the period 2018-2025. It sets national renewable energy targets, establishes a fund for financing renewable energy projects, and defines minimum renewable requirements for large consumers.<br> The law sets the following national targets for renewable energy:<br>&nbsp;<br><br></div><div><br><br></div><ol><li>By 31 December 2017, minimum of 8% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2019, minimum of 12% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2021, minimum of 16% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2023, minimum of 18% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2025, minimum of 20% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><div><br>&nbsp;The law creates a new Fund for the Development of Renewable Energies (FODER), which is to be funded, among others, through the National Treasury with minimum 50% of the savings from shifting from fossil fuels to renewables, estimated at about US$41 billion by 2025.<br>&nbsp;The law also establishes special obligation for large energy users (power demand exceeds 300 kW) to achieve the above-mentioned targets individually, under a threat of penalty. Their renewable energy might be produced on site or purchased through contracts, whose price is capped by the Law at maximum US$113/MWh or its equivalent in the national currency. This price can be modified for new contracts after two years from the entry into force of the law takes effect if required by market conditions.",https://app.climatepolicyradar.org/documents/law-27191-on-renewable-energy_4586,2015-10-15T00:00:00+00:00,ARG,Law 27191,https://app.climatepolicyradar.org/documents/law-27191_656d,https://cdn.climatepolicyradar.org/navigator/ARG/2015/law-27191_1d3cbf812e59e95d2455ce20fdd32ae2.pdf,Law,n/a,Legislative,Spanish,CCLW,Mitigation,,Energía,Energía Supply;Energía Demand,,Tax incentives|Economic;Provision of climate funds|Direct Investment,Mitigation,,Energía,Energía Supply;Energía Demand,,Tax incentives|Economic;Provision of climate funds|Direct Investment,,
,,Law 27191 on Renewable Energía,"The Law builds on and updates the Regimen for the National Promotion for the Production and Use of Renewable Sources of Electric Energía established by the <a href=""http://www.lse.ac.uk/GranthamInstitute/law/law-26-190-regimen-for-the-national-promotion-for-the-production-and-use-of-renewable-sources-of-electric-energy-2/"">Law 26.190</a>, and extends the regimen for the period 2018-2025. It sets national renewable energy targets, establishes a fund for financing renewable energy projects, and defines minimum renewable requirements for large consumers.<br> The law sets the following national targets for renewable energy:<br>&nbsp;<br><br></div><div><br><br></div><ol><li>By 31 December 2017, minimum of 8% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2019, minimum of 12% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2021, minimum of 16% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2023, minimum of 18% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2025, minimum of 20% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><div><br>&nbsp;The law creates a new Fund for the Development of Renewable Energies (FODER), which is to be funded, among others, through the National Treasury with minimum 50% of the savings from shifting from fossil fuels to renewables, estimated at about US$41 billion by 2025.<br>&nbsp;The law also establishes special obligation for large energy users (power demand exceeds 300 kW) to achieve the above-mentioned targets individually, under a threat of penalty. Their renewable energy might be produced on site or purchased through contracts, whose price is capped by the Law at maximum US$113/MWh or its equivalent in the national currency. This price can be modified for new contracts after two years from the entry into force of the law takes effect if required by market conditions.",https://app.climatepolicyradar.org/documents/law-27191-on-renewable-energy_4586,2015-10-15T00:00:00+00:00,ARG,Law 27191,https://app.climatepolicyradar.org/documents/law-27191_24eb,https://cdn.climatepolicyradar.org/navigator/ARG/2015/law-27191-on-renewable-energy_684f244b945baa5e3074b683722988d9.pdf,Law,n/a,Legislative,Spanish,CCLW,Mitigation,,Energía,Energía Supply;Energía Demand,,Tax incentives|Economic;Provision of climate funds|Direct Investment,Mitigation,,Energía,Energía Supply;Energía Demand,,Tax incentives|Economic;Provision of climate funds|Direct Investment,,
,,Law 26.639 on Minimum Standards for Preservation of Glaciers and Periglacial Environment,"This <a href=""http://servicios.infoleg.gob.ar/infolegInternet/anexos/170000-174999/174117/norma.htm"">Law on minimum standards for preservation of glaciers</a> establishes minimum standards for protection of glaciers and periglacial environment, declares glaciers as public goods, and attributes responsibility for formulating a policy on climate change in line with the objective of preserving glaciers and periglacial environment to the highest positioned government body with environmental competence.<br />
The law also calls for creating the National Inventory of Glaciers (to be updated once in five years), listing all the glaciers and periglacial landforms that act as existing water reserves in the country with all the information necessary for proper protection, control and monitoring.<br />
The law prohibits any activities related to glaciers that may affect their natural condition or key functions, including the destruction or removal or interference with their progress (f<a href=""http://servicios.infoleg.gob.ar/infolegInternet/anexos/170000-174999/174117/norma.htm"">ull list in Art 6</a>). All other planned activities in glaciers and the periglacial environment are subject to a procedure of environmental impact assessment and strategic environmental assessment, as appropriate according to their scale, with exception of emergency rescue; scientific research (on foot or skis); sports, including mountaineering, rock climbing and non-motorised sports not disturbing the environment.<br />
Basic sanctions for breach of this law can consist of the following penalties: warning; a fine between 100 and 100,000 times the base salary for the first category of the national public administration; suspension or revocation of licenses (between 30 days and 1 year); or termination of activity. In case of recidivism, the minimum and maximum penalties may triple.",https://app.climatepolicyradar.org/documents/law-26-639-on-minimum-standards-for-preservation-of-glaciers-and-periglacial-environment_69f8,2010-10-28T00:00:00+00:00,ARG,Law 26.639 on Minimum Standards for Preservation of Glaciers and Periglacial Environment,https://app.climatepolicyradar.org/documents/law-26-639-on-minimum-standards-for-preservation-of-glaciers-and-periglacial-environment_76ec,https://cdn.climatepolicyradar.org/navigator/ARG/2010/law-26-639-on-minimum-standards-for-preservation-of-glaciers-and-periglacial-environment_f8c4af20ef7f8c0cf46e4802a3a41e93.pdf,Law,n/a,Legislative,Spanish,CCLW,Adaptation,,Water,Adaptation;Research And Development;REDD+ And LULUCF,,"Subsidies|Economic;Tax incentives|Economic;Education, training and knowledge dissemination|Information",Adaptation,,Water,Adaptation;Research And Development;REDD+ And LULUCF,,"Subsidies|Economic;Tax incentives|Economic;Education, training and knowledge dissemination|Information",,
,,Creation of the National Climate Change Cabinet - Decree 891/2016,"<p>The decree creates a National Cabinet for Climate Change (NCCC). 12 ministries are represented in the cabinet, headed by the chief of the Argentinian Cabinet, and will run with the participation of the Ministries of Energía, Economic Development, Agriculture, Transport, Environment, Social Development, Education, Science, Interior and Culture as well as the Foreign Ministry. The main objective of NCCC is to articulate climate change policies across national departments and national-local level and generate awareness about the importance of mitigation and adaptation. Among the main tasks of NCCC are: preparing the National Plan for Response to Climate Change and proposing Sectoral Action Plans at ministerial level for mitigation and adaptation in key and most vulnerable sectors.</p>
",https://app.climatepolicyradar.org/documents/creation-of-the-national-climate-change-cabinet-decree-891-2016_5797,2016-07-25T00:00:00+00:00,ARG,Creation of the National Climate Change Cabinet - Decree 891/2016,https://app.climatepolicyradar.org/documents/creation-of-the-national-climate-change-cabinet-decree-891-2016_8aef,https://cdn.climatepolicyradar.org/navigator/ARG/2016/creation-of-the-national-climate-change-cabinet-decree-891-2016_8a9a54e69e90daf8d3924df58ba2f9d8.pdf,Decree,n/a,Executive,Spanish,CCLW,Adaptation;Mitigation,,,Institutions / Administrative Arrangements,,Provision of climate funds|Direct Investment,Adaptation;Mitigation,,,Institutions / Administrative Arrangements,,Provision of climate funds|Direct Investment,,
,,Law no 27424 creating the Promotion Regime for Distributed Generation of Renewable Energía Integrated in the Public Electricity Grid,"This law is aimed at setting the policies and establish the legal and contractual conditions for the generation of electric power from renewable sources by users of the national grid, for self-consumption with eventual injection of surpluses to the network. The law also establish the obligation of the main energy providers to facilitate such injection, ensuring free access to the grid,<br />
<br />
The Regime creates a new electric market agent: the ""user-generator,"" which is the user of the energy distribution public service that installs the necessary equipment to generate renewable energy for self?consumption, and injects the excess in the public grid. This law repeals article 5 of law 25019 and replaces it by article 14 of law 26190.",https://app.climatepolicyradar.org/documents/law-no-27424-creating-the-promotion-regime-for-distributed-generation-of-renewable-energy-integrated-in-the-public-electricity-grid_c867,2017-12-27T00:00:00+00:00,ARG,Law no 27424 creating the Promotion Regime for Distributed Generation of Renewable Energía Integrated in the Public Electricity Grid,https://app.climatepolicyradar.org/documents/law-no-27424-creating-the-promotion-regime-for-distributed-generation-of-renewable-energy-integrated-in-the-public-electricity-grid_27af,https://cdn.climatepolicyradar.org/navigator/ARG/2017/law-no-27424-creating-the-promotion-regime-for-distributed-generation-of-renewable-energy-integrated-in-the-public-electricity-grid_9306428a6beb51a5a613af027786720b.pdf,Law,n/a,Legislative,Spanish,CCLW,Mitigation,,Energía,Institutions / Administrative Arrangements;Energía Supply;Energía Demand,,"Standards, obligations and norms|Regulation;Processes, plans and strategies|Governance",Mitigation,,Energía,Institutions / Administrative Arrangements;Energía Supply;Energía Demand,,"Standards, obligations and norms|Regulation;Processes, plans and strategies|Governance",,
,,Law 25.080 for investments in cultivated forests,"This law establishes a regime for the promotion of investments made in new forestry enterprises and in the extensions of existing forests. It aims at enabling entities to benefit from the installation of new forestry-industrial projects and the extensions of existing ones, as long as the wood supply is increased through the implantation of new forests. These benefits must be related to the investments actually made in the implementation.

The activities included in the regime instituted by this law are: the implementation of forests, their maintenance, management, irrigation, protection and harvesting, including research and development activities, as well as those of industrialisation of wood, when all of them are part of an integrated forest or forestry-industrial enterprise (art. 3).

The <a href=""https://www.argentina.gob.ar/forestar-2030"">ForestAR Strategy 2030</a> of 2018 is based on this law.",https://app.climatepolicyradar.org/documents/law-25-080-for-investments-in-cultivated-forests_b3b6,1999-01-15T00:00:00+00:00,ARG,Law No. 27.487 on Investment in Forestry,https://app.climatepolicyradar.org/documents/law-no-27-487-on-investment-in-forestry_a5d3,https://cdn.climatepolicyradar.org/navigator/ARG/1999/law-25-080-for-investments-in-cultivated-forests_c160f9cc3cc5ce7c179fa2ef043e6045.pdf,Law,n/a,Legislative,Spanish,CCLW,Mitigation,,Industry;LULUCF,REDD+ And LULUCF;Energía Supply,,"Capacity building|Governance;Processes, plans and strategies|Governance",Mitigation,,Industry;LULUCF,REDD+ And LULUCF;Energía Supply,,"Capacity building|Governance;Processes, plans and strategies|Governance",,
,,Joint resolution 1/2018 creating the Environmental and Insurance Sustainability Program,"This resolution creates the Environmental Sustainability and Insurance Program (PROSAS) and enables the creation of the reforestation initiative <a href=""https://www.argentina.gob.ar/forestar-2030"">ForestAR 2030</a>. It aims to promote investments in new forestry ventures and in the extensions of existing forests, and is based on Law 25.080. ForestAR is an inter-ministerial strategy that aims to consolidate the country as a sustainable forestry power by 2030, promoting the creation of a competitive and sustainable market, where reforestation promotes social, economic and environmental development. It entails the creation of an insurance programme to sustain forestry activities dedicated to reforestation and enrichment of primary forests.",https://app.climatepolicyradar.org/documents/joint-resolution-1-2018-creating-the-environmental-and-insurance-sustainability-program_8187,2018-06-12T00:00:00+00:00,ARG,Joint resolution 1/2018 creating the Environmental and Insurance Sustainability Program,https://app.climatepolicyradar.org/documents/joint-resolution-1-2018-creating-the-environmental-and-insurance-sustainability-program_f3ed,https://cdn.climatepolicyradar.org/navigator/ARG/2018/joint-resolution-1-2018-creating-the-environmental-and-insurance-sustainability-program_3bafaf7433eabfb4fe102a5933b15db8.pdf,Resolution,n/a,Executive,Spanish,CCLW,Adaptation;Mitigation,,LULUCF,REDD+ And LULUCF,,Insurance|Economic;Institutional mandates|Governance,Adaptation;Mitigation,,LULUCF,REDD+ And LULUCF,,Insurance|Economic;Institutional mandates|Governance,,
,,Law No. 27.287 - National System for Integral Risk Management and Civil Protection,"<p>This act outlines the overall contours of the National System for Integral Risk Management and Civil Protection to design, propose, and implement disaster risk management policies. It also designates the National Council for Integral Risk Management and Civil Protection as the highest authority for disaster risk management matters in the country. In addition to its regulatory and public policy functions, this act requires the Council to create a National Information Center on Comprehensive Risk Management to promote scientific research and to conduct a public awareness campaign about disaster risk management. This act also contains specific budgetary provisions, establishing the National Fund for Integral Risk Management to finance prevention activities (funds to come from national budget), and the National Emergency Fund to finance emergency response (funds to come from voluntary contributions of national, subnational, and local governments, donations, income tax, sovereign loans, and any other source assigned to it).</p>
",https://app.climatepolicyradar.org/documents/law-no-27-287-national-system-for-integral-risk-management-and-civil-protection_2fae,2016-09-28T00:00:00+00:00,ARG,Law No. 27.287 - National System for Integral Risk Management and Civil Protection,https://app.climatepolicyradar.org/documents/law-no-27-287-national-system-for-integral-risk-management-and-civil-protection_7e31,https://cdn.climatepolicyradar.org/navigator/ARG/2016/law-no-27-287-national-system-for-integral-risk-management-and-civil-protection_e38f51109ea8dd01c26ce675f2ff9db8.pdf,Law,n/a,Legislative,Spanish,CCLW,Adaptation;Disaster Risk Management,,,Adaptation;Institutions / Administrative Arrangements;Research And Development;Disaster Risk Management,,,Adaptation;Disaster Risk Management,,,Adaptation;Institutions / Administrative Arrangements;Research And Development;Disaster Risk Management,,,,
,,"Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters","<p>This act requires the Ministry of Agriculture, Livestock, Fisheries and Food to establish a National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters to prevent and mitigate disasters that affect the agricultural sector. It also outlines government competencies for allocating human and financial resources to disaster response efforts and coordinating disaster response at the subnational and local levels. Moreover, it creates the National Fund for the Mitigation of Agricultural Emergencies and Disasters to finance disaster prevention and response activities.</p>
",https://app.climatepolicyradar.org/documents/law-no-26509-creating-the-national-system-for-the-prevention-and-mitigation-of-agricultural-emergencies-and-disasters_0a1b,2009-08-20T00:00:00+00:00,ARG,"Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters",https://app.climatepolicyradar.org/documents/law-no-26509-creating-the-national-system-for-the-prevention-and-mitigation-of-agricultural-emergencies-and-disasters_70bd,https://cdn.climatepolicyradar.org/navigator/ARG/2009/law-no-26509-creating-the-national-system-for-the-prevention-and-mitigation-of-agricultural-emergencies-and-disasters_63ae54cd1b8034980f054feee247cb9d.pdf,Law,n/a,Legislative,Spanish,CCLW,Adaptation;Disaster Risk Management,,Agriculture,Adaptation;Institutions / Administrative Arrangements;Research And Development;Disaster Risk Management,,,Adaptation;Disaster Risk Management,,Agriculture,Adaptation;Institutions / Administrative Arrangements;Research And Development;Disaster Risk Management,,,,
,,"Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters","<p>This law creates the Bicameral Commission for the Attention and Monitoring of Natural Disasters caused by Water and/or Climatic Emergencies to propose a regulatory system for water and climate emergencies.</p>
",https://app.climatepolicyradar.org/documents/law-no-12307-creating-the-bicameral-commission-for-the-attention-and-monitoring-of-natural-disasters_58a8,1999-07-12T00:00:00+00:00,ARG,"Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters",https://app.climatepolicyradar.org/documents/law-no-12307-creating-the-bicameral-commission-for-the-attention-and-monitoring-of-natural-disasters_e6bf,https://cdn.climatepolicyradar.org/navigator/ARG/1999/law-no-12307-creating-the-bicameral-commission-for-the-attention-and-monitoring-of-natural-disasters_3b474f644f9ca030b8a26d748e0c4576.pdf,Law,n/a,Legislative,Spanish,CCLW,Adaptation;Disaster Risk Management,,Water,Adaptation;Institutions / Administrative Arrangements;Disaster Risk Management,,,Adaptation;Disaster Risk Management,,Water,Adaptation;Institutions / Administrative Arrangements;Disaster Risk Management,,,,
,,Decree 476/2019,This decree amends past decrees in order to update the regulatory framework on renewable energy production and reassess the thresholds for related incentives.,https://app.climatepolicyradar.org/documents/decree-476-2019_8a35,2019-07-10T00:00:00+00:00,ARG,Decree 476/2019,https://app.climatepolicyradar.org/documents/decree-476-2019_0ecc,https://www.boletinoficial.gob.ar/detalleAviso/primera/211142/20190711,Decree,n/a,Executive,Spanish,CCLW,Mitigation,,Energía,Energía Supply,,Capacity building|Governance,Mitigation,,Energía,Energía Supply,,Capacity building|Governance,,
,,Decree 548/2019,This decree amends past decrees in order to update the regulatory framework on renewable energy production and reassess the thresholds for related incentives.,https://app.climatepolicyradar.org/documents/decree-548-2019_338b,2019-08-07T00:00:00+00:00,ARG,Decree 548/2019,https://app.climatepolicyradar.org/documents/decree-548-2019_3392,https://www.boletinoficial.gob.ar/detalleAviso/primera/213104/20190808,Decree,n/a,Executive,Spanish,CCLW,Mitigation,,Energía,Energía Supply,,Capacity building|Governance,Mitigation,,Energía,Energía Supply,,Capacity building|Governance,,
Argentina Framework Law ,,Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change,"<p>This law establishes the minimum budgets for environmental protection to guarantee adequate actions, instruments and strategies for Adaptation and Mitigation to Climate Change. The act aims to establish strategies, measures, policies and instruments related to the study of impact, vulnerability and adaptation activities to Climate Change that can guarantee human and ecosystem development; assist and promote the development of mitigation and reduction strategies for greenhouse gases in the country, among others.<br><br>In addition, it creates the National Cabinet of Climate Change, which will be chaired by the Chief of the Cabinet of Ministers, and whose function will be to articulate between the different areas of government of the National Public Administration, the implementation of the National Plan for Adaptation and Mitigation to Climate Change , and of all those public policies related to the application of the provisions established in the law and its complementary norms.<br><br>The different areas of government must apply, within their respective powers, the resolutions and / or actions that are established within the National Cabinet on Climate Change, and report on the progress and modifications of each project.<br><br>The set of strategies, measures, policies, and instruments developed to comply with the object of this law make up the ""National Plan for Adaptation and Mitigation of Climate Change"", which will be prepared by the Executive Branch. This plan will have, among others, the projection of State policies regarding adaptation and mitigation to climate change for present and future generations; the development of methods and tools to assess impacts and vulnerability, and allow adaptation to climate change in the different socioeconomic sectors and environmental systems of the country.<br><br><br></p>
",https://app.climatepolicyradar.org/documents/law-27520-on-minimum-budgets-for-adaptation-and-mitigation-to-global-climate-change_f2e5,2019-12-18T00:00:00+00:00,ARG,Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change,https://app.climatepolicyradar.org/documents/law-27520-on-minimum-budgets-for-adaptation-and-mitigation-to-global-climate-change_0a99,https://www.boletinoficial.gob.ar/detalleAviso/primera/224006/20191220,Law,n/a,Legislative,Spanish,CCLW,Adaptation;Mitigation,,Economy-wide,Adaptation;Mitigation;Argentina,Adaptation;Mitigation,"Institutional mandates|Governance;Processes, plans and strategies|Governance;MRV|Governance",Adaptation;Mitigation,,Economy-wide,Adaptation;Mitigation;Argentina,Adaptation;Mitigation,"Institutional mandates|Governance;Processes, plans and strategies|Governance;MRV|Governance",,
Argentina Framework Law ,,National Plan for Mitigation and Adaptation to Climate Change ,"<p>This plan lays out the measures and instruments to achieve national mitigation and adaptation targets set out in the country’s NDC and Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change. The primary mitigation target is for Argentina not to exceed 349 MtCO2e Greenhouse Gas (GHG) emissions until 2030 across all sectors. The primary adaptation target is to strengthen resilience and contribute to capacity building to reduce climate change vulnerability, accounting for gender equality. The Plan’s six strategic lines include energy transition, productive transition, sustainable mobility, sustainable and resilient territories, conservation of biodiversity and common goods, and sustainable management of food and systems.  &nbsp;</p>
",https://app.climatepolicyradar.org/documents/national-plan-for-mitigation-and-adaptation-to-climate-change_1a15,2022-11-01T00:00:00+00:00,ARG,National Plan for Mitigation and Adaptation to Climate Change ,https://app.climatepolicyradar.org/documents/national-plan-for-mitigation-and-adaptation-to-climate-change_a15d,https://cdn.climatepolicyradar.org/navigator/ARG/2022/national-plan-for-mitigation-and-adaptation-to-climate-change_ff8853f595738a5b2725b4bc5138339d.pdf,Plan,n/a,Executive,Spanish,CCLW,,,Energía;Transport;Environment,Adaptation;Mitigation;Energía;Energía Transition;Biodiversity;Food;Gender,,,,,Energía;Transport;Environment,Adaptation;Mitigation;Energía;Energía Transition;Biodiversity;Food;Gender,,,,
,,Decree 331/2017,"<p>This Decree reduce the rates of tax (Extrazone Import Duty) for vehicles with alternative motors (hydrogen fuel; lower fuel consumption; and clean and renewable energies) for the purposes of stimulating the creation of a market that allows the use of new technologies to spread and thus promote the development of a local industry of these characteristics. The reduction is for 6,000 vehicles over a transitional period of 36 months.</p>
",https://app.climatepolicyradar.org/documents/decree-331-2017_c4d9,2017-05-12T00:00:00+00:00,ARG,Decree 331/2017,https://app.climatepolicyradar.org/documents/decree-331-2017_6628,https://www.argentina.gob.ar/normativa/nacional/decreto-331-2017-274610/texto,Decree,n/a,Executive,Spanish,CCLW,Mitigation,,Energía,Transport;Energía;EVs,,,Mitigation,,Energía,Transport;Energía;EVs,,,,
,,Decree 51/2018,"<p>This Decree introduces measures that allow for the use and manufacture of electric buses, by reducing the tariffs for 36 months, for up to 350 electric buses with each company limited to a quota of 60 electric buses. This Decree also allows applicants to present a Local Production Plan for electric buses, with the percentage of national integration of locally produced units to reach at least 10% within two years and at least 25% from the third year of production. Import operations will accordingly have tariffs reduced to zero.</p>
",https://app.climatepolicyradar.org/documents/decree-51-2018_b2b2,2018-01-17T00:00:00+00:00,ARG,Decree 51/2018,https://app.climatepolicyradar.org/documents/decree-51-2018_9f6b,https://www.argentina.gob.ar/normativa/nacional/decreto-51-2018-305967/texto,Decree,n/a,Executive,Spanish,CCLW,Mitigation,,Energía;Transport,Energía;Transport;EVs;Public Transport,,,Mitigation,,Energía;Transport,Energía;Transport;EVs;Public Transport,,,,
,,Resolution 5/2023 (housing energy efficiency labelling),"<p><span style=""color: rgb(36,36,36);background-color: rgb(255,255,255);font-family: Aptos Narrow;"">Resolution 5/2023 establishes the National Housing Labeling Program (PRONEV), a housing energy efficiency labelling system meant to quantify the energy equirements of houses throughout the country and to improve energy performance and reduce energy consumption in homes. The system is meant to be part of the National Program for the Rational and Efficient Use of Energía, approved via Decree 140/07. The Undersecretary of Electric Energía of the Secretariat of Energía of the Ministry of Economy has the power to carry out the necessary acts for the Program, with such power being subdelegated to the National Directorate of Electricity Generation.</span></p>
",https://app.climatepolicyradar.org/documents/resolution-5-2023-housing-energy-efficiency-labelling_42d5,2023-01-05T00:00:00+00:00,ARG,Resolution 5/2023 (housing energy efficiency labelling),https://app.climatepolicyradar.org/documents/resolution-5-2023-housing-energy-efficiency-labelling_7a69,https://www.boletinoficial.gob.ar/detalleAviso/primera/279268/20230109,Resolution,n/a,Executive,Spanish,CCLW,Mitigation,,Energía,Energía Efficiency;Energía;Housing;Energía Conservation,,,Mitigation,,Energía,Energía Efficiency;Energía;Housing;Energía Conservation,,,,
,,Resolution 418/2023 (housing energy efficiency labelling),"<p><span style=""color: rgb(36,36,36);background-color: rgb(255,255,255);font-family: Aptos Narrow;"">Resolution 418/2023 approves the procedure and national registry for the National Housing Labeling Program (PRONEV), a housing energy efficiency labelling system meant to quantify the energy equirements of houses throughout the country and to improve energy performance and reduce energy consumption in homes. PRONEV was established via Resolution 5/2023.</span></p>
",https://app.climatepolicyradar.org/documents/resolution-418-2023-housing-energy-efficiency-labelling_139b,2023-05-22T00:00:00+00:00,ARG,Resolution 418/2023 (housing energy efficiency labelling),https://app.climatepolicyradar.org/documents/resolution-418-2023-housing-energy-efficiency-labelling_aa06,https://www.boletinoficial.gob.ar/detalleAviso/primera/287143/20230524,Resolution,n/a,Executive,Spanish,CCLW,Mitigation,,Energía,Energía;Energía Efficiency;Housing,,,Mitigation,,Energía,Energía;Energía Efficiency;Housing,,,,
,,Resolution 281-E/2017 (renewable energy market),"<p style=""text-align:start;""><span style=""color: rgb(0,0,0);"">Resolution 281-E/2017 establishes the joint purchase mechanism between energy producers and large-scale consumers (with a power demand equal to or greater than 300 kW) through a long-term market of renewable energy (MATER). The Resolution sets out the order of priority for the dispatch of power generated from renewable sources in case of curtailments due to transmission network congestions, with hydroelectric power enjoying first priority.</span></p>
",https://app.climatepolicyradar.org/documents/resolution-281-e-2017-renewable-energy-market_3901,2017-08-18T00:00:00+00:00,ARG,Resolution 281-E/2017 (renewable energy market),https://app.climatepolicyradar.org/documents/resolution-281-e-2017-renewable-energy-market_155e,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-281-2017-278429,Resolution,n/a,Executive,Spanish,CCLW,Mitigation,,Energía,Energía Supply;Renewables;Hydro,,,Mitigation,,Energía,Energía Supply;Renewables;Hydro,,,,
,,Decree 543/2016 (increasing bioethanol use in automotives),"<p><span style=""color: rgb(36,36,36);background-color: rgb(255,255,255);font-family: Aptos Narrow;"">This Decree increases the mandatory percentage of bioethanol for automotive use from 10% to 12%, with the increase in supply to be exclusively from the sugarcane-based processing sector of the Northwest. The increase in supply is meant to be carried out in an equitable manner, with half of the supply eventually meant to be from the sugarcane-based processing sector and the other half from the corn-based processing sector.</span></p>
",https://app.climatepolicyradar.org/documents/decree-543-2016-increasing-bioethanol-use-in-automotives_6330,2016-03-31T00:00:00+00:00,ARG,Decree 543/2016 (increasing bioethanol use in automotives),https://app.climatepolicyradar.org/documents/decree-543-2016-increasing-bioethanol-use-in-automotives_8eae,http://servicios.infoleg.gob.ar/infolegInternet/anexos/255000-259999/259942/norma.htm,Decree,n/a,Executive,Spanish,CCLW,Mitigation,,Energía,Energía Supply;Biofuels;Transport,,,Mitigation,,Energía,Energía Supply;Biofuels;Transport,,,,
